years,Age group,Cause of death (ICD-10),VALUE
2004,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],13
2005,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],10
2006,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],3
2007,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2008,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2009,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],10
2010,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],16
2011,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2012,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2013,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],21
2014,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],12
2015,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],13
2016,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],12
2017,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],15
2018,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],14
2000,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],74
2001,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],87
2002,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],73
2003,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],73
2004,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],80
2005,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],87
2006,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],90
2007,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],103
2008,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],110
2009,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],125
2010,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],103
2011,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],102
2012,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],105
2013,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],98
2014,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],120
2015,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],120
2016,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],89
2017,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],104
2018,55 to 59 years,Melanoma and other malignant neoplasms of skin [C43-C44],94
2000,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],62
2001,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],69
2002,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],70
2003,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],64
2004,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],66
2005,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],75
2006,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],75
2007,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],63
2008,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],69
2009,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],84
2010,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],69
2011,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],66
2012,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],88
2013,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],63
2014,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],59
2015,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],73
2016,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],83
2017,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],84
2018,55 to 59 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],68
2000,55 to 59 years,Malignant neoplasm of breast [C50],400
2001,55 to 59 years,Malignant neoplasm of breast [C50],424
2002,55 to 59 years,Malignant neoplasm of breast [C50],463
2003,55 to 59 years,Malignant neoplasm of breast [C50],463
2004,55 to 59 years,Malignant neoplasm of breast [C50],488
2005,55 to 59 years,Malignant neoplasm of breast [C50],461
2006,55 to 59 years,Malignant neoplasm of breast [C50],489
2007,55 to 59 years,Malignant neoplasm of breast [C50],508
2008,55 to 59 years,Malignant neoplasm of breast [C50],475
2009,55 to 59 years,Malignant neoplasm of breast [C50],483
2010,55 to 59 years,Malignant neoplasm of breast [C50],484
2011,55 to 59 years,Malignant neoplasm of breast [C50],452
2012,55 to 59 years,Malignant neoplasm of breast [C50],470
2013,55 to 59 years,Malignant neoplasm of breast [C50],491
2014,55 to 59 years,Malignant neoplasm of breast [C50],465
2015,55 to 59 years,Malignant neoplasm of breast [C50],471
2016,55 to 59 years,Malignant neoplasm of breast [C50],454
2017,55 to 59 years,Malignant neoplasm of breast [C50],508
2018,55 to 59 years,Malignant neoplasm of breast [C50],483
2000,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],212
2001,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],209
2002,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],243
2003,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],275
2004,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],233
2005,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],290
2006,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],288
2007,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],275
2008,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],271
2009,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],279
2010,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],259
2011,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],294
2012,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],331
2013,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],292
2014,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],270
2015,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],356
2016,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],319
2017,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],359
2018,55 to 59 years,Malignant neoplasms of female genital organs [C51-C58],328
2000,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],83
2001,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],84
2002,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],94
2003,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],84
2004,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],92
2005,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],84
2006,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],76
2007,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],63
2008,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],83
2009,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],79
2010,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],73
2011,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],69
2012,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],83
2013,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],105
2014,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],86
2015,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],83
2016,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],83
2017,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],109
2018,55 to 59 years,Malignant neoplasms of male genital organs [C60-C63],98
2000,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],174
2001,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],182
2002,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],175
2003,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],175
2004,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],230
2005,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],203
2006,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],212
2007,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],198
2008,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],219
2009,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],221
2010,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],236
2011,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],199
2012,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],215
2013,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],204
2014,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],205
2015,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],251
2016,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],216
2017,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],255
2018,55 to 59 years,Malignant neoplasms of urinary tract [C64-C68],215
2000,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",165
2001,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",159
2002,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",166
2003,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",169
2004,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",192
2005,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",154
2006,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",186
2007,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",197
2008,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",190
2009,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",184
2010,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",210
2011,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",224
2012,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",223
2013,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",242
2014,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",260
2015,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",242
2016,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",228
2017,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",218
2018,55 to 59 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",261
2000,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],18
2001,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],14
2002,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],22
2003,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],16
2004,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],19
2005,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],12
2006,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],18
2007,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],22
2008,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],17
2009,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],20
2010,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],19
2011,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],19
2012,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],23
2013,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],23
2014,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],24
2015,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],15
2016,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],33
2017,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],27
2018,55 to 59 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],19
2000,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",235
2001,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",238
2002,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",240
2003,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",231
2004,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",265
2005,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",246
2006,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",234
2007,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",264
2008,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",237
2009,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",225
2010,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",212
2011,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",190
2012,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",211
2013,55 to 59 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",203
